Team,Season,SponsorName,SponsorIndustry,OriginalSponsorName,CorrectionID,Industry,Key
McLaren,2018,Chandon,Beverages/Food,Chandon,,Food & Beverage,chandon
McLaren,2018,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
McLaren,2018,Kimoa,Apparel,Kimoa,,Apparel & Sportswear,kimoa
McLaren,2018,Hilton,Hospitality,Hilton,,"Travel, Hospitality & Logistics",hilton
McLaren,2018,Norton Rose Fulbright,Legal,Norton Rose Fulbright,,Business Services,nortonrosefulbright
McLaren,2018,CNBC,Media,CNBC,,Media & Entertainment,cnbc
McLaren,2018,Stratasys,Technology,Stratasys,,Technology,stratasys
McLaren,2018,Enkei,Automotive,Enkei,,Automotive,enkei
McLaren,2018,Mazak Machine Tools,Industrial,Mazak Machine Tools,,Industrial & Aerospace,mazak
McLaren,2018,Kenwood,Consumer Electronics,Kenwood,,Technology,kenwood
McLaren,2018,TechnoGym,Fitness,TechnoGym,,Apparel & Sportswear,technogym
McLaren,2018,Volvo Trucks,Automotive,Volvo Trucks,,Automotive,volvotrucks
McLaren,2018,Sparco,Automotive,Sparco,,Automotive,sparco
McLaren,2018,AkzoNobel-Sikkens,Industrial,AkzoNobel-Sikkens,,Industrial & Aerospace,akzonobelsikkens
McLaren,2018,LAT_56,Technology,LAT_56,,Technology,lat56
McLaren,2018,Hookit,Technology,Hookit,,Technology,hookit
McLaren,2018,Calsonic Kansei,Automotive,Calsonic Kansei,,Automotive,calsonickansei
Mercedes,2018,AMG Petronas,Energy/Oil,AMG Petronas,,Energy,amgpetronas
Mercedes,2018,UBS,Finance,UBS,,Financial Services,ubs
Mercedes,2018,Qualcomm,Technology,Qualcomm,,Technology,qualcomm
Mercedes,2018,Epson,Technology,Epson,,Technology,epson
Mercedes,2018,Bose,Consumer Electronics,Bose,,Technology,bose
Mercedes,2018,Tommy Hilfiger,Fashion,Tommy Hilfiger,,Luxury & Fashion,tommyhilfiger
Mercedes,2018,IWC Schaffhausen,Luxury Watches,IWC Schaffhausen,,Luxury Watches,iwcschaffhausen
Mercedes,2018,Wihuri,Industrial,Wihuri,,Industrial & Aerospace,wihuri
Mercedes,2018,Monster Energy,Beverages/Food,Monster Energy,,Food & Beverage,monsterenergy
Mercedes,2018,Pure Storage,Technology,Pure Storage,,Technology,purestorage
Mercedes,2018,TIBCO,Technology,TIBCO,,Technology,tibco
Mercedes,2018,Starwood,Hospitality,Starwood,,"Travel, Hospitality & Logistics",starwood
Mercedes,2018,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Mercedes,2018,ebmpapst,Industrial,ebmpapst,,Industrial & Aerospace,ebmpapst
Mercedes,2018,Tata Communications,Telecom,Tata Communications,,Telecom,tatacommunications
Mercedes,2018,NetJets,Aviation,NetJets,,"Travel, Hospitality & Logistics",netjets
Mercedes,2018,DB Schenker,Logistics,DB Schenker,,"Travel, Hospitality & Logistics",dbschenker
Mercedes,2018,Rubrik,Cybersecurity,Rubrik,,Cybersecurity,rubrik
Mercedes,2018,OMP,Automotive,OMP,,Automotive,omp
Mercedes,2018,Spies Hecker,Industrial,Spies Hecker,,Industrial & Aerospace,spieshecker
Mercedes,2018,Assos,Apparel,Assos,,Apparel & Sportswear,assos
Mercedes,2018,OZ Racing,Automotive,OZ Racing,,Automotive,ozracing
Mercedes,2018,Endless,Automotive,Endless,,Automotive,endless
Mercedes,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
RB/AlphaTauri/Toro Rosso,2018,Red Bull,Beverages/Food,Red Bull,,Food & Beverage,redbull
RB/AlphaTauri/Toro Rosso,2018,Acronis,Cybersecurity,Acronis,,Cybersecurity,acronis
RB/AlphaTauri/Toro Rosso,2018,Edifice Casio,Consumer Electronics,Edifice Casio,,Technology,edificecasio
RB/AlphaTauri/Toro Rosso,2018,Honda,Automotive,Honda,,Automotive,honda
RB/AlphaTauri/Toro Rosso,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
RB/AlphaTauri/Toro Rosso,2018,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
RB/AlphaTauri/Toro Rosso,2018,Riedel,Technology,Riedel,,Technology,riedel
RB/AlphaTauri/Toro Rosso,2018,Gi Group,Staffing,Gi Group,,Business Services,gigroup
RB/AlphaTauri/Toro Rosso,2018,Hangar-7,Hospitality,Hangar-7,,"Travel, Hospitality & Logistics",hangar7
RB/AlphaTauri/Toro Rosso,2018,APP Tech,Technology,APP Tech,,Technology,apptech
Red Bull Racing,2018,Aston Martin,Automotive,Aston Martin,,Automotive,astonmartin
Red Bull Racing,2018,ExxonMobil,Energy/Oil,ExxonMobil,,Energy,exxonmobil
Red Bull Racing,2018,Tag Heuer,Luxury Watches,Tag Heuer,,Luxury Watches,tagheuer
Red Bull Racing,2018,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Red Bull Racing,2018,Citrix,Technology,Citrix,,Technology,citrix
Red Bull Racing,2018,Rauch,Beverages/Food,Rauch,,Food & Beverage,rauch
Red Bull Racing,2018,Hisense,Consumer Electronics,Hisense,,Technology,hisense
Red Bull Racing,2018,AT&T,Telecom,AT&T,,Telecom,att
Red Bull Racing,2018,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
Red Bull Racing,2018,IBM Spectrum,Technology,IBM Spectrum,,Technology,ibmspectrum
Red Bull Racing,2018,Hexagon,Technology,Hexagon,,Technology,hexagon
Red Bull Racing,2018,DMG Mori,Industrial,DMG Mori,,Industrial & Aerospace,dmgmori
Red Bull Racing,2018,PWR,Automotive,PWR,,Automotive,pwr
Red Bull Racing,2018,Ansys,Technology,Ansys,,Technology,ansys
Red Bull Racing,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Red Bull Racing,2018,Sabelt,Automotive,Sabelt,,Automotive,sabelt
Red Bull Racing,2018,Flir,Technology,Flir,,Technology,flir
Red Bull Racing,2018,OZ Racing,Automotive,OZ Racing,,Automotive,ozracing
Red Bull Racing,2018,HPE Simplivity,Technology,HPE Simplivity,,Technology,hpesimplivity
Red Bull Racing,2018,Earin,Consumer Electronics,Earin,,Technology,earin
Red Bull Racing,2018,Mitie,Services,Mitie,,Business Services,mitie
Sauber/Alfa Romeo,2018,Alfa Romeo,Automotive,Alfa Romeo,,Automotive,alfaromeo
Sauber/Alfa Romeo,2018,Silanna,Technology,Silanna,,Technology,silanna
Sauber/Alfa Romeo,2018,Carrera,Consumer Goods,Carrera,,Consumer Goods & Retail,carrera
Sauber/Alfa Romeo,2018,Claro,Telecom,Claro,,Telecom,claro
Sauber/Alfa Romeo,2018,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
Sauber/Alfa Romeo,2018,Additive Industries,Industrial,Additive Industries,,Industrial & Aerospace,additiveindustries
Sauber/Alfa Romeo,2018,Hewlett Packard Enterprises,Technology,Hewlett Packard Enterprises,,Technology,hewlettpackardenterprise
Sauber/Alfa Romeo,2018,Kappa,Apparel,Kappa,,Apparel & Sportswear,kappa
Sauber/Alfa Romeo,2018,Mitsubishi Electric,Industrial,Mitsubishi Electric,,Industrial & Aerospace,mitsubishielectric
Sauber/Alfa Romeo,2018,OMP,Automotive,OMP,,Automotive,omp
Sauber/Alfa Romeo,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Sauber/Alfa Romeo,2018,Walter Meier,Industrial,Walter Meier,,Industrial & Aerospace,waltermeier
Sauber/Alfa Romeo,2018,Thomann Nutzfahrzeuge,Automotive,Thomann Nutzfahrzeuge,,Automotive,thomannnutzfahrzeuge
Sauber/Alfa Romeo,2018,Brütsch/Rüegger,Industrial,Brütsch/Rüegger,,Industrial & Aerospace,brutschruegger
Sauber/Alfa Romeo,2018,Carbon-Connect,Industrial,Carbon-Connect,,Industrial & Aerospace,carbonconnect
Sauber/Alfa Romeo,2018,Interroll,Industrial,Interroll,,Industrial & Aerospace,interroll
Sauber/Alfa Romeo,2018,MTO,Industrial,MTO,,Industrial & Aerospace,mto
Sauber/Alfa Romeo,2018,Riedel,Technology,Riedel,,Technology,riedel
Sauber/Alfa Romeo,2018,Singapore Airlines,Aviation,Singapore Airlines,,"Travel, Hospitality & Logistics",singaporeairlines
Sauber/Alfa Romeo,2018,Garage Italia,Automotive,Garage Italia,,Automotive,garageitalia
Williams,2018,Martini,Beverages/Food,Martini,,Food & Beverage,martini
Williams,2018,Rexona,Consumer Goods,Rexona,,Consumer Goods & Retail,rexona
Williams,2018,JCB,Industrial,JCB,,Industrial & Aerospace,jcb
Williams,2018,SMP Racing,Automotive,SMP Racing,,Automotive,smpracing
Williams,2018,Oris,Luxury Watches,Oris,,Luxury Watches,oris
Williams,2018,BT,Telecom,BT,,Telecom,bt
Williams,2018,Acronis,Cybersecurity,Acronis,,Cybersecurity,acronis
Williams,2018,Financial.org,Finance,Financial.org,,Financial Services,financialorg
Williams,2018,Bombardier,Aerospace,Bombardier,,Industrial & Aerospace,bombardier
Williams,2018,Canada Life,Finance,Canada Life,,Financial Services,canadalife
Williams,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Williams,2018,Symantec,Cybersecurity,Symantec,,Cybersecurity,symantec
Williams,2018,PPG,Industrial,PPG,,Industrial & Aerospace,ppg
Williams,2018,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Alpine/Renault,2019,Castrol,Energy/Oil,Castrol,,Energy,castrol
Alpine/Renault,2019,Infiniti,Automotive,Infiniti,,Automotive,infiniti
Alpine/Renault,2019,RCI,Finance,RCI,,Financial Services,rci
Alpine/Renault,2019,Mapfre,Insurance,Mapfre,,Financial Services,mapfre
Alpine/Renault,2019,BP Ultimate,Energy/Oil,BP Ultimate,,Energy,bpultimate
Alpine/Renault,2019,Euro DataCar,Technology,Euro DataCar,,Technology,eurodatacar
Alpine/Renault,2019,Bell & Ross,Luxury Watches,Bell & Ross,,Luxury Watches,bellross
Alpine/Renault,2019,Tmall,Ecommerce,Tmall,,Technology,tmall
Alpine/Renault,2019,Genii,Investment,Genii,,Financial Services,geniicapital
Alpine/Renault,2019,3D Systems,Technology,3D Systems,,Technology,3dsystems
Alpine/Renault,2019,Boeing,Aerospace,Boeing,,Industrial & Aerospace,boeing
Alpine/Renault,2019,Breton,Industrial,Breton,,Industrial & Aerospace,breton
Alpine/Renault,2019,Elysium,Other,Elysium,,Technology,elysium
Alpine/Renault,2019,GF+,Industrial,GF+,,Industrial & Aerospace,gf
Alpine/Renault,2019,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
Alpine/Renault,2019,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Alpine/Renault,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Alpine/Renault,2019,Le Coq Sportif,Apparel,Le Coq Sportif,,Apparel & Sportswear,lecoqsportif
Alpine/Renault,2019,Oz Racing,Automotive,Oz Racing,,Automotive,ozracing
Alpine/Renault,2019,Renault Pro+,Automotive,Renault Pro+,,Automotive,renaultpro
Aston Martin/Racing Point/Force India,2019,SportsPesa,Gambling/Betting,SportsPesa,,Other,sportspesa
Aston Martin/Racing Point/Force India,2019,BWT,Water Technology,BWT,,Industrial & Aerospace,bwt
Aston Martin/Racing Point/Force India,2019,Bombardier,Aerospace,Bombardier,,Industrial & Aerospace,bombardier
Aston Martin/Racing Point/Force India,2019,Breast Cancer Care,Nonprofit,Breast Cancer Care,,Other,breastcancercare
Aston Martin/Racing Point/Force India,2019,Canada Life,Insurance,Canada Life,,Financial Services,canadalife
Aston Martin/Racing Point/Force India,2019,Claro,Telecom,Claro,,Telecom,claro
Aston Martin/Racing Point/Force India,2019,Infinitum,Industrial,Infinitum,,Telecom,infinitum
Aston Martin/Racing Point/Force India,2019,JCB,Industrial,JCB,,Industrial & Aerospace,jcb
Aston Martin/Racing Point/Force India,2019,NEC,Technology,NEC,,Technology,nec
Aston Martin/Racing Point/Force India,2019,Telcel,Telecom,Telcel,,Telecom,telcel
Aston Martin/Racing Point/Force India,2019,Acronis,Technology,Acronis,,Cybersecurity,acronis
Aston Martin/Racing Point/Force India,2019,Orangebus,Technology,Orangebus,,Technology,orangebus
Aston Martin/Racing Point/Force India,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Aston Martin/Racing Point/Force India,2019,Ravenol,Automotive,Ravenol,,Energy,ravenol
Aston Martin/Racing Point/Force India,2019,Univa,Technology,Univa,,Technology,univa
Aston Martin/Racing Point/Force India,2019,3D Systems,Technology,3D Systems,,Technology,3dsystems
Aston Martin/Racing Point/Force India,2019,Condeco,Technology,Condeco,,Technology,condeco
Aston Martin/Racing Point/Force India,2019,Gtechniq,Automotive,Gtechniq,,Automotive,gtechniq
Aston Martin/Racing Point/Force India,2019,Hackett,Fashion,Hackett,,Luxury & Fashion,hackettlondon
Aston Martin/Racing Point/Force India,2019,ITEC,Industrial,ITEC,,Technology,itec
Aston Martin/Racing Point/Force India,2019,RNT,Other,RNT,,Other,rnt
Aston Martin/Racing Point/Force India,2019,SAS,Technology,SAS,,Technology,sas
Aston Martin/Racing Point/Force India,2019,Schuberth,Automotive,Schuberth,,Automotive,schuberth
Aston Martin/Racing Point/Force India,2019,STL,Other,STL,,Technology,stl
Aston Martin/Racing Point/Force India,2019,UPS Direct,Power/UPS,UPS Direct,,"Travel, Hospitality & Logistics",upsdirect
Aston Martin/Racing Point/Force India,2019,Voip Unlimited,Telecom,Voip Unlimited,,Telecom,voipunlimited
Ferrari,2019,Phillip Morris International,Tobacco,Phillip Morris International,,Other,philipmorrisinternational
Ferrari,2019,Shell,Energy/Oil,Shell,,Energy,shell
Ferrari,2019,Ray-Ban,Fashion,Ray-Ban,,Luxury & Fashion,rayban
Ferrari,2019,Kaspersky,Cybersecurity,Kaspersky,,Cybersecurity,kaspersky
Ferrari,2019,UPS,Logistics,UPS,,"Travel, Hospitality & Logistics",ups
Ferrari,2019,Lenovo,Technology,Lenovo,,Technology,lenovo
Ferrari,2019,Weichei,Other,Weichei,,Industrial & Aerospace,weichai
Ferrari,2019,Hublot,Luxury Watches,Hublot,,Luxury Watches,hublot
Ferrari,2019,MAHLE,Automotive,MAHLE,,Automotive,mahle
Ferrari,2019,OMR,Automotive,OMR,,Media & Entertainment,omr
Ferrari,2019,AMD,Technology,AMD,,Technology,amd
Ferrari,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Ferrari,2019,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Ferrari,2019,Eightcap,Finance,Eightcap,,Financial Services,eightcap
Ferrari,2019,Laszmoe,Other,Laszmoe,,Other,laszmoe
Ferrari,2019,Infor,Technology,Infor,,Technology,infor
Ferrari,2019,Experis,Staffing,Experis,,Business Services,experis
Ferrari,2019,SKF,Industrial,SKF,,Industrial & Aerospace,skf
Ferrari,2019,Magneti-Marelli,Automotive,Magneti-Marelli,,Automotive,marelli
Ferrari,2019,NGK,Automotive,NGK,,Automotive,ngk
Ferrari,2019,Brembo,Automotive,Brembo,,Automotive,brembo
Ferrari,2019,Riedel,Technology,Riedel,,Technology,riedel
Ferrari,2019,VistaJet,Aviation,VistaJet,,"Travel, Hospitality & Logistics",vistajet
Ferrari,2019,Iveco,Automotive,Iveco,,Automotive,iveco
Haas,2019,Rich Energy,Beverages/Food,Rich Energy,,Food & Beverage,richenergy
Haas,2019,Jack & Jones,Fashion,Jack & Jones,,Apparel & Sportswear,jackjones
Haas,2019,Peak,Apparel,Peak,,Apparel & Sportswear,peak
Haas,2019,BlueDEF,Automotive,Blue Def,S002,Automotive,bluedef
Haas,2019,Branded London,Other,Branded London,,Other,brandedlondon
Haas,2019,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
Haas,2019,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Haas,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
McLaren,2019,Dell,Technology,Dell,,Technology,delltechnologies
McLaren,2019,Petrobas,Energy/Oil,Petrobas,,Energy,petrobras
McLaren,2019,Logitech,Technology,Logitech,,Technology,logitech
McLaren,2019,British American Tobacco,Tobacco,British American Tobacco,,Other,britishamericantobaccoabettertomorrow
McLaren,2019,Vive,Technology,Vive,,Technology,vive
McLaren,2019,Estrella Galicia,Beverages/Food,Estrella Galicia,,Food & Beverage,estrellagalicia
McLaren,2019,Hilton,Hospitality,Hilton,,"Travel, Hospitality & Logistics",hilton
McLaren,2019,FxPro,Finance,FxPro,,Financial Services,fxpro
McLaren,2019,CNBC,Media,CNBC,,Media & Entertainment,cnbc
McLaren,2019,SAP,Technology,SAP,,Technology,sap
McLaren,2019,KAUST,Education,KAUST,,Business Services,kaust
McLaren,2019,Huski Chocolate,Beverages/Food,Huski Chocolate,,Food & Beverage,huskichocolate
McLaren,2019,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
McLaren,2019,Sparco,Automotive,Sparco,,Automotive,sparco
McLaren,2019,Volvo Trucks,Automotive,Volvo,S001,Automotive,volvotrucks
McLaren,2019,Sikkens,Industrial,Sikkens,,Industrial & Aerospace,sikkens
McLaren,2019,Enkei,Automotive,Enkei,,Automotive,enkei
McLaren,2019,Mazak,Industrial,Mazak,,Industrial & Aerospace,mazak
McLaren,2019,Calsonic Kansei,Automotive,Calsonic Kansei,,Automotive,calsonickansei
McLaren,2019,Technogym,Fitness,Technogym,,Apparel & Sportswear,technogym
McLaren,2019,Hookit,Technology,Hookit,,Technology,hookit
McLaren,2019,Kenwood,Consumer Electronics,Kenwood,,Technology,kenwood
McLaren,2019,Stratasys,Technology,Stratasys,,Technology,stratasys
McLaren,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
McLaren,2019,IT Lab,Technology,IT Lab,,Technology,itlab
Mercedes,2019,Petronas,Energy/Oil,Petronas,,Energy,petronas
Mercedes,2019,UBS,Finance,UBS,,Financial Services,ubs
Mercedes,2019,Qualcomm,Technology,Qualcomm,,Technology,qualcomm
Mercedes,2019,Epson,Technology,Epson,,Technology,epson
Mercedes,2019,Bose,Consumer Electronics,Bose,,Technology,bose
Mercedes,2019,Tommy Hilfiger,Fashion,Tommy Hilfiger,,Luxury & Fashion,tommyhilfiger
Mercedes,2019,IWC Schaffhausen,Luxury Watches,IWC Schaffhausen,,Luxury Watches,iwcschaffhausen
Mercedes,2019,Hewlett Packard Enterprise,Technology,Hewlett Packard Enterprise,,Technology,hewlettpackardenterprise
