Team,Season,SponsorName,SponsorIndustry
Haas,2019,Blue Def,Automotive
Haas,2019,Branded London,Other
Haas,2019,Richard Mille,Luxury Watches
Haas,2019,Alpinestars,Apparel
Haas,2019,Pirelli,Automotive
McLaren,2019,Dell,Technology
McLaren,2019,Petrobas,Energy/Oil
McLaren,2019,Logitech,Technology
McLaren,2019,British American Tobacco,Tobacco
McLaren,2019,Vive,Technology
McLaren,2019,Estrella Galicia,Beverages/Food
McLaren,2019,Hilton,Hospitality
McLaren,2019,FxPro,Finance
McLaren,2019,CNBC,Media
McLaren,2019,SAP,Technology
McLaren,2019,KAUST,Education
McLaren,2019,Huski Chocolate,Beverages/Food
McLaren,2019,Richard Mille,Luxury Watches
McLaren,2019,Sparco,Automotive
McLaren,2019,Volvo,Automotive
McLaren,2019,Sikkens,Industrial
McLaren,2019,Enkei,Automotive
McLaren,2019,Mazak,Industrial
McLaren,2019,Calsonic Kansei,Automotive
McLaren,2019,Technogym,Fitness
McLaren,2019,Hookit,Technology
McLaren,2019,Kenwood,Consumer Electronics
McLaren,2019,Stratasys,Technology
McLaren,2019,Pirelli,Automotive
McLaren,2019,IT Lab,Technology
Mercedes,2019,Petronas,Energy/Oil
Mercedes,2019,UBS,Finance
Mercedes,2019,Qualcomm,Technology
Mercedes,2019,Epson,Technology
Mercedes,2019,Bose,Consumer Electronics
Mercedes,2019,Tommy Hilfiger,Fashion
Mercedes,2019,IWC Schaffhausen,Luxury Watches
Mercedes,2019,Hewlett Packard Enterprise,Technology
Mercedes,2019,Marriott Bonvoy,Hospitality
Mercedes,2019,Monster Energy,Beverages/Food
Mercedes,2019,Pure Storage,Technology
Mercedes,2019,CrowdStrike,Cybersecurity
Mercedes,2019,Tibco,Technology
Mercedes,2019,Puma,Apparel
Mercedes,2019,Ebmpapst,Industrial
Mercedes,2019,Tata Communications,Telecom
Mercedes,2019,Konecranes,Industrial
Mercedes,2019,OMP,Automotive
Mercedes,2019,Axalta,Industrial
Mercedes,2019,Assos,Apparel
Mercedes,2019,Oz Racing,Automotive
Mercedes,2019,Endless,Automotive
Mercedes,2019,Pirelli,Automotive
Mercedes,2019,Seedlip,Beverages/Food
Racing Point,2019,SportsPesa,Gambling/Betting
Racing Point,2019,BWT,Water Technology
Racing Point,2019,Bombardier,Aerospace
Racing Point,2019,Breast Cancer Care,Nonprofit
Racing Point,2019,Canada Life,Insurance
Racing Point,2019,Claro,Telecom
Racing Point,2019,Infinitum,Industrial
Racing Point,2019,JCB,Industrial
Racing Point,2019,NEC,Technology
Racing Point,2019,Telcel,Telecom
Racing Point,2019,Acronis,Technology
Racing Point,2019,Orangebus,Technology
Racing Point,2019,Pirelli,Automotive
Racing Point,2019,Ravenol,Automotive
Racing Point,2019,Univa,Technology
Racing Point,2019,3D Systems,Technology
Racing Point,2019,Condeco,Technology
Racing Point,2019,Gtechniq,Automotive
Racing Point,2019,Hackett,Fashion
Racing Point,2019,ITEC,Industrial
Racing Point,2019,RNT,Other
Racing Point,2019,SAS,Technology
Racing Point,2019,Schuberth,Automotive
Racing Point,2019,STL,Other
Racing Point,2019,UPS Direct,Power/UPS
Racing Point,2019,Voip Unlimited,Telecom
Red Bull Racing,2019,Aston Martin,Automotive
Red Bull Racing,2019,Rauch,Beverages/Food
Red Bull Racing,2019,Honda,Automotive
Red Bull Racing,2019,Mobil1,Energy/Oil
Red Bull Racing,2019,Esso,Energy/Oil
Red Bull Racing,2019,Tag Heuer,Luxury Watches
Red Bull Racing,2019,Citrix,Technology
Red Bull Racing,2019,Siemens,Industrial
Red Bull Racing,2019,HP,Technology
Red Bull Racing,2019,AT&T,Telecom
Red Bull Racing,2019,IBM,Technology
Red Bull Racing,2019,W66.com,Gambling/Betting
Red Bull Racing,2019,Puma,Apparel
Red Bull Racing,2019,Dita Eyewear,Fashion
Red Bull Racing,2019,Pirelli,Automotive
Renault,2019,Castrol,Energy/Oil
Renault,2019,Infiniti,Automotive
Renault,2019,RCI,Finance
Renault,2019,Mapfre,Insurance
Renault,2019,BP Ultimate,Energy/Oil
Renault,2019,Euro DataCar,Technology
Renault,2019,Bell & Ross,Luxury Watches
Renault,2019,Tmall,Ecommerce
Renault,2019,Genii,Investment
Renault,2019,3D Systems,Technology
Renault,2019,Boeing,Aerospace
Renault,2019,Breton,Industrial
Renault,2019,Elysium,Other
Renault,2019,GF+,Industrial
Renault,2019,Siemens,Industrial
Renault,2019,Alpinestars,Apparel
Renault,2019,Pirelli,Automotive
Renault,2019,Le Coq Sportif,Apparel
Renault,2019,Oz Racing,Automotive
Renault,2019,Renault Pro+,Automotive
Toro Rosso,2019,Red Bull,Beverages/Food
Toro Rosso,2019,Honda,Automotive
Toro Rosso,2019,MyWorld,Other
Toro Rosso,2019,Pirelli,Automotive
Toro Rosso,2019,Siemens,Industrial
Toro Rosso,2019,Randstad,Staffing
Toro Rosso,2019,Red Bull Mobile,Telecom
Toro Rosso,2019,Riedel,Technology
Toro Rosso,2019,Edifice Casio,Luxury Watches
Williams,2019,Rokit,Technology
Williams,2019,Rexona,Consumer Goods
Williams,2019,Orlen,Energy/Oil
Williams,2019,Acronis,Technology
Williams,2019,Omnitude,Technology
Williams,2019,Sofina,Investment
Williams,2019,Netjets,Aviation
Williams,2019,Symantec,Cybersecurity
Williams,2019,Tata Communications,Telecom
Williams,2019,Thales,Technology
Williams,2019,Dtex,Cybersecurity
Williams,2019,Michael Caines,Hospitality
Williams,2019,Geospatial Insight,Technology
Williams,2019,Alpinestars,Apparel
Williams,2019,Cybex,Consumer Goods
Williams,2019,Pirelli,Automotive
Mercedes,2020,Petronas,Energy/Oil
Mercedes,2020,INEOS,Chemicals
Mercedes,2020,UBS,Finance
Mercedes,2020,Epson,Technology
Mercedes,2020,Bose,Consumer Electronics
Mercedes,2020,Tommy Hilfiger,Fashion
Mercedes,2020,IWC,Luxury Watches
Mercedes,2020,Hewlett Packard,Technology
Mercedes,2020,The Ritz-Carlton,Hospitality
Mercedes,2020,Monster Energy,Beverages/Food
Mercedes,2020,Pure Storage,Technology
Mercedes,2020,CrowdStrike,Cybersecurity
Mercedes,2020,TIBCO,Technology
Mercedes,2020,AMD,Technology
Mercedes,2020,Puma,Apparel
Mercedes,2020,Police,Fashion
Mercedes,2020,OMP,Automotive
Mercedes,2020,OZ Racing,Automotive
Mercedes,2020,Endless,Automotive
Mercedes,2020,Stilo,Automotive
Mercedes,2020,Seedlip,Beverages/Food
Mercedes,2020,Pirelli,Automotive
Ferrari,2020,Philip Morris International,Tobacco
Ferrari,2020,Shell,Energy/Oil
Ferrari,2020,Ray Ban,Fashion
Ferrari,2020,Kapersky,Cybersecurity
Ferrari,2020,UPS,Logistics
Ferrari,2020,Hublot,Luxury Watches
Ferrari,2020,Mahle,Automotive
Ferrari,2020,OMR,Media
Ferrari,2020,Puma,Apparel
Ferrari,2020,Eightcap,Finance
Ferrari,2020,Infor,Technology
Ferrari,2020,SKF,Industrial
Ferrari,2020,Marelli,Automotive
Ferrari,2020,NGK,Automotive
Ferrari,2020,VistaJet,Aviation
Ferrari,2020,Brembo,Automotive
Ferrari,2020,Experis,Staffing
Ferrari,2020,Riedel,Technology
Ferrari,2020,Iveco,Automotive
Ferrari,2020,OZ racing,Automotive
Ferrari,2020,Sabelt,Automotive
Ferrari,2020,Bell,Automotive
Ferrari,2020,Palantir,Technology
Ferrari,2020,Alfa Romeo,Automotive
Ferrari,2020,Garrett,Automotive
Ferrari,2020,Technogym,Fitness
Ferrari,2020,Pirelli,Automotive
Red Bull Racing,2020,Rauch,Beverages/Food
Red Bull Racing,2020,Honda,Automotive
Red Bull Racing,2020,Mobil 1 Esso,Energy/Oil
Red Bull Racing,2020,Aston Martin,Automotive
Red Bull Racing,2020,Puma,Apparel
Red Bull Racing,2020,Tag Heuer,Luxury Watches
Red Bull Racing,2020,Citrix,Technology
Red Bull Racing,2020,Piquadro,Fashion
Red Bull Racing,2020,Siemens,Industrial
Red Bull Racing,2020,AT&T,Telecom
Red Bull Racing,2020,Hewlett Packard,Technology
Red Bull Racing,2020,Iris,Technology
Red Bull Racing,2020,AlphaTauri,Apparel
Red Bull Racing,2020,IBM,Technology
Red Bull Racing,2020,Dita,Fashion
Red Bull Racing,2020,W66.com,Gambling/Betting
Red Bull Racing,2020,PayVoo,Payments
Red Bull Racing,2020,myWorld,Finance
Red Bull Racing,2020,Hexagon,Technology
Red Bull Racing,2020,DMG Mori,Industrial
Red Bull Racing,2020,PWR,Automotive
Red Bull Racing,2020,Snowflake,Technology
Red Bull Racing,2020,Ansys,Technology
Red Bull Racing,2020,Sabelt,Automotive
Red Bull Racing,2020,OZ,Automotive
Red Bull Racing,2020,Mitie,Services
Red Bull Racing,2020,kx technology,Technology
Red Bull Racing,2020,GoldStandard,Finance
Red Bull Racing,2020,Pirelli,Automotive
McLaren,2020,British-American Tobacco,Tobacco
McLaren,2020,Splunk,Technology
McLaren,2020,DarkTrace,Cybersecurity
McLaren,2020,Dell,Technology
McLaren,2020,Huski Chocolate,Beverages/Food
McLaren,2020,Gulf,Energy/Oil
McLaren,2020,Arrow,Technology
McLaren,2020,Estrella Galicia,Beverages/Food
McLaren,2020,Automation Anywhere,Technology
McLaren,2020,Richard Mille,Luxury Watches
McLaren,2020,Hilton,Hospitality
McLaren,2020,Coca Cola,Beverages/Food
McLaren,2020,Unilever,Consumer Goods
McLaren,2020,FxPro,Finance
McLaren,2020,Deloitte,Professional Services
McLaren,2020,TUMI,Fashion
McLaren,2020,Iqoniq,Apparel
McLaren,2020,Mind,Technology
McLaren,2020,CNBC,Media
McLaren,2020,Oneplus,Technology
McLaren,2020,Mindmaze,Technology
McLaren,2020,Klipsch,Consumer Electronics
McLaren,2020,Akebono,Automotive
McLaren,2020,Sparco,Automotive
McLaren,2020,Volvo trucks,Automotive
McLaren,2020,Sikkens,Industrial
McLaren,2020,Enkei,Automotive
McLaren,2020,Mazak,Industrial
McLaren,2020,Marelli,Automotive
McLaren,2020,Technogym,Fitness
McLaren,2020,Ashurst,Legal
McLaren,2020,Stratasys,Technology
McLaren,2020,Kaust,Education
McLaren,2020,Hookit,Technology
McLaren,2020,wipro,Technology
McLaren,2020,Alienware,Technology
McLaren,2020,Veloce Esports,Esports
McLaren,2020,Ultimotive,Automotive
McLaren,2020,NEW ERA,Apparel
McLaren,2020,FAI Aviation Group,Aviation
McLaren,2020,Pirelli,Automotive
Renault,2020,DP World,Logistics
Renault,2020,Castrol,Energy/Oil
Renault,2020,Infiniti,Automotive
Renault,2020,RCi,Finance
Renault,2020,MAPFRE,Insurance
Renault,2020,BP Ultimate,Energy/Oil
Renault,2020,Dupont,Chemicals
Renault,2020,Microsoft,Technology
Renault,2020,Bell & Ross,Luxury Watches
Renault,2020,TMALL,E-commerce
Renault,2020,Eurodatacar,Technology
Renault,2020,Genii Capital,Investment
Renault,2020,Le coq sportif,Apparel
Renault,2020,3D systems,Technology
Renault,2020,Alpinestars,Apparel
Renault,2020,Boeing,Aerospace
Renault,2020,Breton,Industrial
Renault,2020,Cannondale,Consumer Goods
Renault,2020,Elysium,Technology
Renault,2020,GF Machining solutions,Industrial
Renault,2020,Hechter,Apparel
Renault,2020,Hexis,Industrial
Renault,2020,HP,Technology
Renault,2020,ixell,Automotive
Renault,2020,Jabil,Technology
Renault,2020,Matrix,Technology
Renault,2020,OZ Racing,Automotive
Renault,2020,PerkinElmer,Life Sciences
Renault,2020,Siemens,Industrial
Renault,2020,Verizon Media,Media
Renault,2020,Volume Graphics,Technology
Renault,2020,Yxlon,Industrial
Renault,2020,Pirelli,Automotive
Alpha Tauri,2020,myWorld,Finance
Alpha Tauri,2020,MOOSE,Consumer Goods
Alpha Tauri,2020,AlphaTauri,Apparel
Alpha Tauri,2020,Red Bull,Beverages/Food
Alpha Tauri,2020,Honda,Automotive
Alpha Tauri,2020,Edifice Casio,Consumer Electronics
Alpha Tauri,2020,Randstad,Staffing
Alpha Tauri,2020,RDS,Technology
Alpha Tauri,2020,Riedel,Technology
Alpha Tauri,2020,Siemens,Industrial
Alpha Tauri,2020,Red Bull Mobile,Telecom
Alpha Tauri,2020,Hangar 7,Hospitality
Alpha Tauri,2020,Pirelli,Automotive
Alfa Romeo Racing,2020,Alfa Romeo,Automotive
Alfa Romeo Racing,2020,PKN ORLEN,Energy/Oil
Alfa Romeo Racing,2020,Adler Pelzer Group,Industrial
Alfa Romeo Racing,2020,Carrera,Consumer Goods
Alfa Romeo Racing,2020,Claro,Telecom
Alfa Romeo Racing,2020,Richard Mille,Luxury Watches
Alfa Romeo Racing,2020,Acer,Technology
Alfa Romeo Racing,2020,Built for Athletes,Apparel
Alfa Romeo Racing,2020,Singha,Beverages/Food
Alfa Romeo Racing,2020,Additive industries,Industrial
Alfa Romeo Racing,2020,EGV1,Technology
Alfa Romeo Racing,2020,GlobeAir,Aviation
Alfa Romeo Racing,2020,Hewlett Packard,Technology
Alfa Romeo Racing,2020,Iveco,Automotive
Alfa Romeo Racing,2020,Marelli,Automotive
Alfa Romeo Racing,2020,Mitsubishi Electric,Industrial
Alfa Romeo Racing,2020,Save the Children,Nonprofit
Alfa Romeo Racing,2020,Sparco,Automotive
Alfa Romeo Racing,2020,Walter Meier,Industrial
Alfa Romeo Racing,2020,3D Systems,Technology
Alfa Romeo Racing,2020,AB Dynamic,Technology
Alfa Romeo Racing,2020,Brutsch-Ruegger,Industrial
Alfa Romeo Racing,2020,Carbon Connect,Industrial
Alfa Romeo Racing,2020,Interoll,Industrial
Alfa Romeo Racing,2020,Quintus,Industrial
Alfa Romeo Racing,2020,Riedel,Technology
Alfa Romeo Racing,2020,Singapore Airlines,Aviation
Alfa Romeo Racing,2020,Pirelli,Automotive
Racing Point,2020,Bombardier,Aerospace
Racing Point,2020,Breast Cancer Care,Nonprofit
Racing Point,2020,BWT,Water Technology
Racing Point,2020,Canadalife,Finance
Racing Point,2020,Claro,Telecom
Racing Point,2020,Infinitum,Telecom
Racing Point,2020,JCB,Industrial
Racing Point,2020,Magnesium,Beverages/Food
Racing Point,2020,NEC,Technology
Racing Point,2020,SpScore.com,Technology
Racing Point,2020,Sport Pesa,Gambling/Betting
Racing Point,2020,Telcel,Telecom
Racing Point,2020,Telmex,Telecom
Racing Point,2020,Acronis,Cybersecurity
Racing Point,2020,Adaptavist,Technology
Racing Point,2020,Alpinestars,Apparel
Racing Point,2020,IFS,Technology
Racing Point,2020,OrangeBus,Technology
Racing Point,2020,Ravenol,Energy/Oil
Racing Point,2020,Univa,Technology
Racing Point,2020,3D Systems,Technology
Racing Point,2020,Condeco,Technology
Racing Point,2020,EBB3,Technology
Racing Point,2020,GTECHNIQ,Automotive
Racing Point,2020,Hackett,Apparel
Racing Point,2020,Macauley,Consumer Goods
Racing Point,2020,RNT Rausch,Industrial
Racing Point,2020,SAS,Industrial
Racing Point,2020,Schuberth,Automotive
Racing Point,2020,STL,Technology
Racing Point,2020,UPS Direct,Logistics
Racing Point,2020,Voip Unlimited,Telecom
Racing Point,2020,Pirelli,Automotive
Haas,2020,Haas Automation,Industrial
Haas,2020,Jack & Jones,Apparel
Haas,2020,Peak,Apparel
Haas,2020,Blue,Automotive
Haas,2020,DEF,Automotive
Haas,2020,Stichd,Apparel
Haas,2020,Alpinestars,Apparel
Haas,2020,Richard Mille,Luxury Watches
Haas,2020,Nominet Cyber,Cybersecurity
Haas,2020,MindMaze,Technology
Haas,2020,Windshear,Aerospace
Haas,2020,Pirelli,Automotive
Williams,2020,Acronis,Cybersecurity
Williams,2020,Sofina,Investment
Williams,2020,Lavazza,Beverages/Food
Williams,2020,RBC,Finance
Williams,2020,NetJets,Aviation
Williams,2020,Versa,Technology
Williams,2020,Symantec,Cybersecurity
Williams,2020,Iqoniq,Apparel
Williams,2020,Umbro,Apparel
Williams,2020,Financial Times,Media
Williams,2020,Ponos,Technology
Williams,2020,Alpinestars,Apparel
Williams,2020,APL,Apparel
Williams,2020,PPG,Industrial
Williams,2020,DTEX,Cybersecurity
Williams,2020,Thales,Aerospace
Williams,2020,Precision Hydration,Beverages/Food
Williams,2020,Crew Clothing,Apparel
Williams,2020,U Earth,Consumer Goods
Williams,2020,Michael Caines,Hospitality
Williams,2020,Life Fitness,Fitness
Williams,2020,Pirelli,Automotive
Mercedes,2021,Petronas,Energy/Oil
Mercedes,2021,INEOS,Chemicals
Mercedes,2021,UBS,Finance
Mercedes,2021,Epson,Technology
Mercedes,2021,Bose,Consumer Electronics
Mercedes,2021,Tommy Hilfiger,Fashion
Mercedes,2021,IWC,Luxury Watches
Mercedes,2021,Hewlett Packard,Technology
Mercedes,2021,The Ritz-Carlton,Hospitality
Mercedes,2021,Monster Energy,Beverages/Food
Mercedes,2021,Pure Storage,Technology
Mercedes,2021,CrowdStrike,Cybersecurity
Mercedes,2021,TIBCO,Technology
Mercedes,2021,AMD,Technology
Mercedes,2021,Puma,Apparel
